,item,mass_kg,volume_m3,value_dollar
0,item_1,75,82,28
1,item_2,84,45,14
2,item_3,62,93,40
3,item_4,59,34,86
4,item_5,41,71,81
5,item_6,89,33,97
6,item_7,88,94,38
7,item_8,80,46,42
8,item_9,93,1,40
9,item_10,88,44,14
10,item_11,1,43,32
11,item_12,4,58,18
12,item_13,0,72,82
13,item_14,33,22,52
14,item_15,5,39,62
15,item_16,60,0,28
16,item_17,35,99,50
17,item_18,44,84,52
18,item_19,92,10,26
19,item_20,4,91,96
20,item_21,17,89,97
21,item_22,53,1,67
22,item_23,82,86,71
23,item_24,81,74,48
24,item_25,49,50,79
25,item_26,49,8,14
26,item_27,16,81,31
27,item_28,66,66,59
28,item_29,64,64,27
29,item_30,91,12,91
30,item_31,32,72,77
31,item_32,82,51,13
32,item_33,14,67,83
33,item_34,43,90,18
34,item_35,65,93,42
35,item_36,19,61,36
36,item_37,80,46,14
37,item_38,94,69,66
38,item_39,62,56,75
39,item_40,47,28,55
40,item_41,9,42,21
41,item_42,99,22,66
42,item_43,70,61,24
43,item_44,53,30,18
44,item_45,81,55,33
45,item_46,76,94,13
46,item_47,71,64,54
47,item_48,49,23,79
48,item_49,39,96,65
49,item_50,21,61,15
